CustomerID,frequency,recency,T,monetary_value,predicted_purchases,probability,expected_monetary_value
12747.0,10.0,367.0,369.0,383.745,0.7527223561629389,1.0,383.6136652125698
12748.0,112.0,373.0,373.0,279.91214285714284,7.872809438905407,1.0,281.17727588842104
12749.0,3.0,210.0,213.0,1028.7,0.40901977096719616,1.0,823.539822733742
12820.0,3.0,323.0,326.0,257.29333333333335,0.2881368668205728,1.0,297.1103913569196
12821.0,0.0,0.0,214.0,0.0,0.07460152716271051,1.0,382.67291797150347
12822.0,1.0,17.0,87.0,257.98,0.34997772658051735,0.9999999990092745,330.63229299414235
12823.0,4.0,222.0,296.0,363.375,0.39781309321066755,1.0,368.3677497627376
12824.0,0.0,0.0,59.0,0.0,0.17484879391569438,1.0,382.67291797150347
12826.0,6.0,363.0,365.0,218.85333333333332,0.4750674342408846,1.0,249.77562698157547
12827.0,2.0,39.0,44.0,106.20000000000002,0.7989096735219599,1.0,219.85353235306815
12828.0,5.0,128.0,130.0,158.34199999999998,0.9131790243269805,1.0,207.3066696570819
12829.0,1.0,24.0,360.0,167.3,0.12049634520372206,0.999999994940262,292.7869690598226
12830.0,4.0,134.0,171.0,1148.1999999999998,0.6165386687277923,1.0,950.1431338235076
12831.0,0.0,0.0,262.0,0.0,0.06335319878303793,1.0,382.67291797150347
12832.0,1.0,66.0,98.0,115.22999999999999,0.32503554320961314,0.9999999995235123,271.0555396678946
12833.0,0.0,0.0,145.0,0.0,0.10016685214746637,1.0,382.67291797150347
12834.0,0.0,0.0,282.0,0.0,0.059608335058377475,1.0,382.67291797150347
12836.0,3.0,252.0,311.0,587.89,0.29990244872157706,1.0,522.7187802504642
12837.0,0.0,0.0,173.0,0.0,0.08793791520037679,1.0,382.67291797150347
12838.0,1.0,340.0,373.0,281.16,0.11684789372281257,0.9999999996306876,340.3064726235814
12839.0,13.0,365.0,367.0,398.8853846153846,0.9688698943994044,1.0,397.3131693666394
12840.0,3.0,83.0,226.0,624.2333333333332,0.39018743288286956,1.0,547.5204848865899
12841.0,23.0,367.0,371.0,155.57956521739132,1.661806583165672,1.0,168.57501737832771
12842.0,1.0,238.0,308.0,808.26,0.13769370806995357,0.9999999995384097,560.2918083732499
12843.0,7.0,199.0,264.0,226.7657142857143,0.7184965091831066,1.0,252.6894159932977
12844.0,1.0,101.0,130.0,151.08,0.26921962506032704,0.9999999995712907,286.01754742093124
